id,liste,region,nuance,candidat,voix_tour_1,contient_nom_candidat,!,Action,Alliance,Anticapitaliste,Centre,Changement,Conduite,Construire,Demain,Droite,Ecologie,Ensemble,Europe,Force,France,Front,Gauche,Independant,Juste,Lutte,Moderne,National,Nouveau,Oser,Ouvriere,PC,Progres,PS,Rassemblement,Solidaire,Soutenue,Tete,Tous,UMP,Union,Extreme
"ALLIANCE ECOLOGISTE INDEPENDANTE CHAMPAGNE-ARDENNE (TETE DE LISTE ECOLOGISTE, LISTE DIVERS ECOLOGISTES)///CHAMPAGNE-ARDENNE","ALLIANCE ECOLOGISTE INDEPENDANTE CHAMPAGNE-ARDENNE (TETE DE LISTE ECOLOGISTE, LISTE DIVERS ECOLOGISTES)",CHAMPAGNE-ARDENNE,ECO,WYSOCINSKI,7529,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ALLIANCE ECOLOGISTE INDEPENDANTE DE LORRAINE (TETE DE LISTE ECOLOGISTE, LISTE DIVERS ECOLOGISTES)///LORRAINE","ALLIANCE ECOLOGISTE INDEPENDANTE DE LORRAINE (TETE DE LISTE ECOLOGISTE, LISTE DIVERS ECOLOGISTES)",LORRAINE,ECO,KAAS,15563,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ALLIANCE ECOLOGISTE INDEPENDANTE SOUTENUE PAR PATRICE DEVRET ET ANTOINE WAECHTER (TETE DE LISTE ECOLOGISTE, LISTE DIVERS ECOLOGISTES)///ILE-DE-FRANCE","ALLIANCE ECOLOGISTE INDEPENDANTE SOUTENUE PAR PATRICE DEVRET ET ANTOINE WAECHTER (TETE DE LISTE ECOLOGISTE, LISTE DIVERS ECOLOGISTES)",ILE-DE-FRANCE,ECO,GOVERNATORI,37667,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ALLIANCE ECOLOGISTE INDEPENDANTE-LIMOUSIN (TETE DE LISTE ECOLOGISTE, LISTE DIVERS ECOLOGISTES)///LIMOUSIN","ALLIANCE ECOLOGISTE INDEPENDANTE-LIMOUSIN (TETE DE LISTE ECOLOGISTE, LISTE DIVERS ECOLOGISTES)",LIMOUSIN,ECO,RANC,5681,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ALLIANCE POUR LA NORMANDIE///HAUTE-NORMANDIE,ALLIANCE POUR LA NORMANDIE,HAUTE-NORMANDIE,DIV,FRAU,6487,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANTICAPITALISTES! TOUT CHANGER, RIEN LACHER, LISE PRESENTEE PAR LE NOUVEAU PARTI ANTICAPITALISTE (NPA) ET SOUTENUE PAR OLIVIER BESANCENOT. (NOUVEAU PARTI ANTICAPITALISTE)///RHONE-ALPES","ANTICAPITALISTES! TOUT CHANGER, RIEN LACHER, LISE PRESENTEE PAR LE NOUVEAU PARTI ANTICAPITALISTE (NPA) ET SOUTENUE PAR OLIVIER BESANCENOT. (NOUVEAU PARTI ANTICAPITALISTE)",RHONE-ALPES,EXG,COMBET,40814,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"AUJOURD'HUI ET DEMAIN, ENSEMBLE POUR RHONE-ALPES. (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)///RHONE-ALPES","AUJOURD'HUI ET DEMAIN, ENSEMBLE POUR RHONE-ALPES. (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)",RHONE-ALPES,UMP,GROSSETETE,450936,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
AUVERGNE DEMOCRATE ECOLOGIE (MODEM)///AUVERGNE,AUVERGNE DEMOCRATE ECOLOGIE (MODEM),AUVERGNE,MODEM,FANGET,21523,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AVEC DOMINIQUE BUSSEREAU POITOU-CHARENTES, C'EST VOUS ! (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE)///POITOU-CHARENTES","AVEC DOMINIQUE BUSSEREAU POITOU-CHARENTES, C'EST VOUS ! (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE)",POITOU-CHARENTES,UMP,BUSSEREAU,182044,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
"AVEC JEAN-PAUL BACHY, LA GAUCHE EN ACTION (TETE DE LISTE PS, LISTE PS, PC ET DIVERS GAUCHE)///CHAMPAGNE-ARDENNE","AVEC JEAN-PAUL BACHY, LA GAUCHE EN ACTION (TETE DE LISTE PS, LISTE PS, PC ET DIVERS GAUCHE)",CHAMPAGNE-ARDENNE,SOC-COM-autreG,BACHY,117593,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
